state,district,latitude,longitude,region
Chhattisgarh,Narayanpur,19.5874,81.1141,Central India
Chhattisgarh,Raigarh,22.2356,83.354,Central India
Chhattisgarh,Raipur,21.283,81.8176,Central India
Chhattisgarh,Rajnandgaon,21.0684,80.7969,Central India
Chhattisgarh,Sakti,21.9269,82.9651,Central India
Chhattisgarh,Sarangarh Bilaigarh,21.5431,83.1262,Central India
Chhattisgarh,Sukma,18.2801,81.3134,Central India
Chhattisgarh,Surajpur,23.3575,82.9757,Central India
Chhattisgarh,Surguja,22.9463,83.1659,Central India
Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,20.2043,73.0067,West India
Dadra and Nagar Haveli and Daman and Diu,Daman,20.4224,72.8389,West India
Dadra and Nagar Haveli and Daman and Diu,Diu,20.7213,70.9343,West India
Delhi,Central,28.6796,77.2146,North India
Delhi,East,28.6211,77.3103,North India
Delhi,New Delhi,28.5645,77.1238,North India
Delhi,North,28.7841,77.0992,North India
Delhi,North East,28.7279,77.261,North India
Delhi,North West,28.7371,77.0122,North India
Delhi,Shahdara,28.6771,77.2961,North India
Delhi,South,28.487,77.1972,North India
Delhi,South East,28.5448,77.2741,North India
Delhi,South West,28.5855,76.9785,North India
Delhi,West,28.649,77.0901,North India
Goa,North Goa,15.5341,74.0201,West India
Goa,South Goa,15.1958,74.123,West India
Gujarat,Ahmadabad,22.7397,72.2956,West India
Gujarat,Amreli,21.4179,71.216,West India
Gujarat,Anand,22.4205,72.7173,West India
Gujarat,Arvalli,23.4839,73.3986,West India
Gujarat,Banas Kantha,24.2697,72.1629,West India
Gujarat,Bharuch,21.8206,72.9749,West India
Gujarat,Bhavnagar,21.563,71.9071,West India
Gujarat,Botad,22.0467,71.669,West India
Gujarat,Chhotaudepur,22.2226,73.7778,West India
Gujarat,Dang,20.789,73.7091,West India
Gujarat,Devbhumi Dwarka,22.1392,69.4288,West India
Gujarat,Dohad,22.9196,74.1343,West India
Gujarat,Gandhinagar,23.282,72.6536,West India
Gujarat,Gir Somnath,20.9299,70.7622,West India
Gujarat,Jamnagar,22.2795,70.1263,West India
Gujarat,Junagadh,21.3068,70.4563,West India
Gujarat,Kachchh,23.7312,69.845,West India
Gujarat,Kheda,22.8533,72.9954,West India
Gujarat,Mahesana,23.5705,72.4566,West India
Gujarat,Mahisagar,23.1913,73.6644,West India
Gujarat,Morbi,22.8098,70.8269,West India
Gujarat,Narmada,21.7393,73.6263,West India
Gujarat,Navsari,20.8295,73.033,West India
Gujarat,Panch Mahals,22.6978,73.5981,West India
Gujarat,Patan,23.7738,71.6796,West India
Gujarat,Porbandar,21.6034,69.8531,West India
Gujarat,Rajkot,22.0693,71.0289,West India
Gujarat,Sabar Kantha,23.8686,73.0137,West India
Gujarat,Surat,21.1917,72.9609,West India
Gujarat,Surendranagar,22.8251,71.621,West India
Gujarat,Tapi,21.1887,73.5556,West India
Gujarat,Vadodara,22.3179,73.3049,West India
Gujarat,Valsad,20.4355,73.146,West India
Haryana,Ambala,30.3434,76.9502,North India
Haryana,Bhiwani,28.7322,75.8932,North India
Haryana,Charki Dadri,28.6001,76.1126,North India
Haryana,Faridabad,28.357,77.3265,North India
Haryana,Fatehabad,29.5359,75.5753,North India
Haryana,Gurugram,28.3702,76.9415,North India
Haryana,Hisar,29.2399,75.8174,North India
Haryana,Jhajjar,28.598,76.6511,North India
Haryana,Jind,29.4504,76.2351,North India
Haryana,Kaithal,29.8534,76.4688,North India
Haryana,Karnal,29.7046,76.916,North India
Haryana,Kurukshetra,30.0607,76.7631,North India
Haryana,Mahendragarh,28.1331,76.1681,North India
Haryana,Nuh,27.994,77.0415,North India
Haryana,Palwal,28.0599,77.3224,North India
Haryana,Panchkula,30.6996,76.9876,North India
Haryana,Panipat,29.3478,76.8871,North India
Haryana,Rewari,28.2181,76.5813,North India
Haryana,Rohtak,28.8904,76.5871,North India
Haryana,Sirsa,29.608,74.902,North India
Haryana,Sonipat,29.0414,76.9227,North India
Haryana,Yamunanagar,30.216,77.3259,North India
Himachal Pradesh,Bilaspur,31.4024,76.6407,North India
Himachal Pradesh,Chamba,32.6924,76.1629,North India
Himachal Pradesh,Hamirpur,31.654,76.5404,North India
Himachal Pradesh,Kangra,32.0759,76.3001,North India
Himachal Pradesh,Kinnaur,31.5866,78.3315,North India
Himachal Pradesh,Kullu,31.8778,77.4505,North India
Himachal Pradesh,Lahul And Spiti,32.502,77.5797,North India
Himachal Pradesh,Mandi,31.6517,77.0093,North India
Himachal Pradesh,Shimla,31.2397,77.7127,North India
Himachal Pradesh,Sirmaur,30.699,77.4498,North India
Himachal Pradesh,Solan,31.0535,76.8448,North India
Himachal Pradesh,Una,31.5826,76.2362,North India
Jammu and Kashmir,Anantnag,33.8096,75.2782,North India
Jammu and Kashmir,Bandipora,34.5411,74.9454,North India
Jammu and Kashmir,Baramulla,34.1722,74.3129,North India
Jammu and Kashmir,Budgam,33.9054,74.6237,North India
Jammu and Kashmir,Doda,33.1357,75.6021,North India
Jammu and Kashmir,Ganderbal,34.2539,74.958,North India
Jammu and Kashmir,Jammu,32.7695,74.922,North India
Jammu and Kashmir,Kathua,32.583,75.6104,North India
Jammu and Kashmir,Kishtwar,33.6165,75.8799,North India
Jammu and Kashmir,Kulgam,33.6541,74.6541,North India
Jammu and Kashmir,Kupwara,34.5194,74.2218,North India
Jammu and Kashmir,Mirpur,33.2321,73.8213,North India
Jammu and Kashmir,Muzaffarabad,34.5416,73.6839,North India
Jammu and Kashmir,Poonch,33.7688,74.0145,North India
Jammu and Kashmir,Pulwama,33.9478,75.0406,North India
Jammu and Kashmir,Rajouri,33.2671,74.3515,North India
Jammu and Kashmir,Ramban,33.296,75.1706,North India
Jammu and Kashmir,Reasi,33.206,74.8567,North India
Jammu and Kashmir,Samba,32.5755,75.1213,North India
Jammu and Kashmir,Shopian,33.7242,74.7783,North India
Jammu and Kashmir,Srinagar,34.1169,74.7902,North India
Jammu and Kashmir,Udhampur,32.914,75.3286,North India
Jharkhand,Bokaro,23.6982,85.992,East India
Jharkhand,Chatra,24.0971,84.8672,East India
Jharkhand,Deoghar,24.3311,86.7193,East India
Jharkhand,Dhanbad,23.8448,86.4638,East India
Jharkhand,Dumka,24.3159,87.2764,East India
Jharkhand,East Singhbum,22.6134,86.3833,East India
Jharkhand,Garhwa,24.0528,83.6545,East India
Jharkhand,Giridih,24.3316,86.1594,East India
Jharkhand,Godda,24.8643,87.2991,East India
Jharkhand,Gumla,23.1588,84.4615,East India
Jharkhand,Hazaribagh,24.088,85.4953,East India
Jharkhand,Jamtara,23.981,86.9244,East India
Jharkhand,Khunti,22.9291,85.2823,East India
Jharkhand,Koderma,24.5422,85.6937,East India
Jharkhand,Latehar,23.6869,84.4993,East India
Jharkhand,Lohardaga,23.477,84.7004,East India
Jharkhand,Pakur,24.533,87.5953,East India
Jharkhand,Palamu,24.2181,84.1757,East India
Jharkhand,Ramgarh,23.6923,85.5223,East India
Jharkhand,Ranchi,23.2996,85.3748,East India
Jharkhand,Sahebganj,25.0321,87.6923,East India
Jharkhand,Saraikela Kharsawan,22.8231,85.9199,East India
Jharkhand,Simdega,22.5889,84.5469,East India
Jharkhand,West Singhbhum,22.4282,85.5327,East India
Karnataka,Bagalkote,16.2901,75.5809,South India
Karnataka,Ballari,15.3479,76.8052,South India
Karnataka,Belagavi,16.1581,74.8888,South India
Karnataka,Bengaluru Rural,13.1823,77.3395,South India
Karnataka,Bengaluru Urban,12.9453,77.5523,South India
Karnataka,Bidar,18.0207,77.2486,South India
Karnataka,Chamarajanagara,11.9545,77.1068,South India
Karnataka,Chikkaballapura,13.5899,77.7823,South India
Karnataka,Chikkamagaluru,13.4059,75.6388,South India
Karnataka,Chitradurga,14.3063,76.5287,South India
Karnataka,Dakshina Kannada,12.8225,75.2269,South India
Karnataka,Davangere,14.2559,75.8303,South India
Karnataka,Dharwad,15.3707,75.1333,South India
Karnataka,Gadag,15.416,75.6815,South India
Karnataka,Hassan,13.0302,76.1745,South India
Karnataka,Haveri,14.718,75.3873,South India
Karnataka,Kalaburagi,17.2406,76.7702,South India
Karnataka,Kodagu,12.3831,75.664,South India
Karnataka,Kolar,13.1799,78.2667,South India
Karnataka,Koppal,15.5748,76.3118,South India
Karnataka,Mandya,12.6369,76.7275,South India
Karnataka,Mysuru,12.1971,76.6121,South India
Karnataka,Raichur,16.0547,76.9009,South India
Karnataka,Ramanagara,12.7203,77.3178,South India
Karnataka,Shivamogga,14.0559,75.2382,South India
Karnataka,Tumakuru,13.4193,76.881,South India
Karnataka,Udupi,13.527,74.8731,South India
Karnataka,Uttara Kannada,14.7251,74.6407,South India
Karnataka,Vijayanagar,14.9434,76.0451,South India
Karnataka,Vijayapura,16.8144,75.8934,South India
Karnataka,Yadgir,16.5739,76.925,South India
Kerala,Alappuzha,9.5011,76.4129,South India
Kerala,Ernakulam,10.0456,76.4979,South India
Kerala,Idukki,9.8156,76.9993,South India
Kerala,Kannur,11.9881,75.5461,South India
Kerala,Kasaragod,12.4199,75.1907,South India
Kerala,Kollam,8.9675,76.8581,South India
Kerala,Kottayam,9.6288,76.6448,South India
Kerala,Kozhikode,11.4649,75.8915,South India
Kerala,Malappuram,11.1071,76.1096,South India
Kerala,Palakkad,10.7866,76.4737,South India
Kerala,Pathanamthitta,9.2771,76.9726,South India
Kerala,Thiruvananthapuram,8.5775,77.0498,South India
Kerala,Thrissur,10.4788,76.2732,South India
Kerala,Wayanad,11.7151,76.1267,South India
Ladakh,Kargil,33.8077,76.438,North India
Ladakh,Leh Ladakh,34.7119,78.248,North India
Lakshadweep,Lakshadweep District,10.8117,73.6767,Islands
Madhya Pradesh,Agar Malwa,23.9351,76.1451,Central India
Madhya Pradesh,Alirajpur,22.286,74.3546,Central India
Madhya Pradesh,Anuppur,23.0346,81.751,Central India
Madhya Pradesh,Ashoknagar,24.6186,77.8787,Central India
Madhya Pradesh,Balaghat,21.8612,80.3237,Central India
Madhya Pradesh,Barwani,21.7513,74.8916,Central India
Madhya Pradesh,Betul,21.8799,77.8754,Central India
Madhya Pradesh,Bhind,26.352,78.6863,Central India
Madhya Pradesh,Bhopal,23.484,77.3929,Central India
Madhya Pradesh,Burhanpur,21.3348,76.3709,Central India
Madhya Pradesh,Chhatarpur,24.7605,79.6781,Central India
Madhya Pradesh,Chhindwara,22.1401,78.8094,Central India
Madhya Pradesh,Damoh,23.7981,79.5419,Central India
Madhya Pradesh,Datia,25.9179,78.6647,Central India
Madhya Pradesh,Dewas,22.8057,76.294,Central India
Madhya Pradesh,Dhar,22.5787,75.2259,Central India
Madhya Pradesh,Dindori,22.9069,80.8848,Central India
Madhya Pradesh,East Nimar,21.977,76.5675,Central India
Madhya Pradesh,Guna,24.5002,77.2601,Central India
Madhya Pradesh,Gwalior,26.0286,78.157,Central India
Madhya Pradesh,Harda,22.243,77.1182,Central India
Madhya Pradesh,Indore,22.7108,75.8077,Central India
Madhya Pradesh,Jabalpur,23.223,79.9826,Central India
Madhya Pradesh,Jhabua,22.887,74.7243,Central India
Madhya Pradesh,Katni,23.7177,80.261,Central India
Madhya Pradesh,Khargone,21.9543,75.7522,Central India
Madhya Pradesh,Mandla,22.6873,80.5816,Central India
Madhya Pradesh,Mandsaur,24.2629,75.3858,Central India
Madhya Pradesh,Morena,26.385,77.8613,Central India
Madhya Pradesh,Narmadapuram,22.6003,77.927,Central India
Madhya Pradesh,Narsinghpur,22.935,79.0865,Central India
Madhya Pradesh,Neemuch,24.6296,75.1826,Central India
Madhya Pradesh,Niwari,25.3123,78.6682,Central India
Madhya Pradesh,Panna,24.4497,80.1462,Central India
Madhya Pradesh,Raisen,23.2675,78.1728,Central India
Madhya Pradesh,Rajgarh,23.8716,76.7745,Central India
Madhya Pradesh,Ratlam,23.5029,74.955,Central India
Madhya Pradesh,Rewa,24.7561,81.6545,Central India
Madhya Pradesh,Sagar,23.8082,78.7581,Central India
Madhya Pradesh,Satna,24.5776,80.809,Central India
Madhya Pradesh,Sehore,23.1151,77.0666,Central India
Madhya Pradesh,Seoni,22.2748,79.7203,Central India
Madhya Pradesh,Shahdol,23.6531,81.4303,Central India
Madhya Pradesh,Shajapur,23.4171,76.6075,Central India
Madhya Pradesh,Sheopur,25.7496,76.9214,Central India
Madhya Pradesh,Shivpuri,25.3741,77.8279,Central India
Madhya Pradesh,Sidhi,24.2111,81.7,Central India
Madhya Pradesh,Singrauli,24.2433,82.3828,Central India
Madhya Pradesh,Tikamgarh,24.8552,79.0473,Central India
Madhya Pradesh,Ujjain,23.2934,75.626,Central India
Madhya Pradesh,Umaria,23.6432,80.9419,Central India
Madhya Pradesh,Vidisha,23.8463,77.837,Central India
Maharashtra,Ahmednagar,19.1625,74.8581,Central India
Maharashtra,Akola,20.7614,77.1919,Central India
Maharashtra,Amravati,21.1544,77.6446,Central India
Maharashtra,Aurangabad,20.023,75.1506,Central India
Maharashtra,Beed,18.9922,75.9101,Central India
Maharashtra,Bhandara,21.1225,79.7945,Central India
Maharashtra,Buldhana,20.5636,76.4087,Central India
Maharashtra,Chandrapur,20.0969,79.5042,Central India
Maharashtra,Dhule,21.1312,74.49,Central India
Maharashtra,Gadchiroli,19.7575,80.1631,Central India
Maharashtra,Gondia,21.1453,80.2682,Central India
Maharashtra,Hingoli,19.6193,77.1889,Central India
Maharashtra,Jalgaon,20.8423,75.5266,Central India
Maharashtra,Jalna,19.9189,75.8705,Central India
Maharashtra,Kolhapur,16.4619,74.0892,Central India
Maharashtra,Latur,18.3554,76.755,Central India
Maharashtra,Mumbai,18.9732,72.8264,Central India
Maharashtra,Mumbai Suburban,19.1242,72.8949,Central India
Maharashtra,Nagpur,21.1527,79.0145,Central India
Maharashtra,Nanded,19.0934,77.4828,Central India
Maharashtra,Nandurbar,21.5139,74.5411,Central India
Maharashtra,Nashik,20.2252,74.1039,Central India
Maharashtra,Osmanabad,18.1694,76.1171,Central India
Maharashtra,Palghar,19.7573,73.0865,Central India
Maharashtra,Parbhani,19.2901,76.6019,Central India
Maharashtra,Pune,18.6451,73.9211,Central India
Maharashtra,Raigad,18.493,73.139,Central India
Maharashtra,Ratnagiri,17.2826,73.4728,Central India
Maharashtra,Sangli,17.1724,74.5859,Central India
Maharashtra,Satara,17.6359,74.2981,Central India
Maharashtra,Sindhudurg,16.1355,73.6534,Central India
Maharashtra,Solapur,17.8499,75.2767,Central India
Maharashtra,Thane,19.3593,73.3685,Central India
Maharashtra,Wardha,20.8261,78.6129,Central India
Maharashtra,Washim,20.2871,77.2371,Central India
Maharashtra,Yavatmal,20.0642,78.3567,Central India
Manipur,Bishnupur,24.5239,93.7924,Northeast India
Manipur,Chandel,24.1623,93.9711,Northeast India
Manipur,Churachandpur,24.2783,93.6714,Northeast India
Manipur,Imphal East,24.8527,94.0101,Northeast India
Manipur,Imphal West,24.799,93.8599,Northeast India
Manipur,Jiribam,24.7043,93.111,Northeast India
Manipur,Kakching,24.3924,93.878,Northeast India
Manipur,Kamjong,24.7899,94.3928,Northeast India
Manipur,Kangpokpi,24.9711,94.102,Northeast India
Manipur,Noney,24.6704,93.4873,Northeast India
Manipur,Pherzawl,24.3689,93.2509,Northeast India
Manipur,Senapati,25.3912,94.1479,Northeast India
Manipur,Tamenglong,25.0641,93.5311,Northeast India
Manipur,Tengnoupal,24.3773,94.2478,Northeast India
Manipur,Thoubal,24.618,93.9958,Northeast India
Manipur,Ukhrul,25.2877,94.4608,Northeast India
Meghalaya,East Garo Hills,25.6147,90.6356,Northeast India
Meghalaya,East Jaintia Hills,25.2502,92.483,Northeast India
Meghalaya,East Khasi Hills,25.4066,91.8286,Northeast India
Meghalaya,Eastern West Khasi Hills,25.6179,91.5649,Northeast India
Meghalaya,North Garo Hills,25.8573,90.7018,Northeast India
Meghalaya,Ri Bhoi,25.8745,91.8556,Northeast India
Meghalaya,South Garo Hills,25.3494,90.5781,Northeast India
Meghalaya,South West Garo Hills,25.4386,89.9951,Northeast India
Meghalaya,South West Khasi Hills,25.3096,91.3246,Northeast India
Meghalaya,West Garo Hills,25.606,90.2035,Northeast India
Meghalaya,West Jaintia Hills,25.4361,92.2921,Northeast India
Meghalaya,West Khasi Hills,25.5774,91.0813,Northeast India
Mizoram,Aizawl,23.8658,92.9019,Northeast India
Mizoram,Champhai,23.197,93.2712,Northeast India
Mizoram,Hnahthial,22.9563,93.0153,Northeast India
Mizoram,Khawzawl,23.4995,93.1442,Northeast India
Mizoram,Kolasib,24.1835,92.7121,Northeast India
Mizoram,Lawngtlai,22.3688,92.7312,Northeast India
Mizoram,Lunglei,22.9519,92.6342,Northeast India
Mizoram,Mamit,23.756,92.4506,Northeast India
Mizoram,Saiha,22.2872,93.0131,Northeast India
Mizoram,Saitual,23.878,93.1859,Northeast India
Mizoram,Serchhip,23.3032,92.8451,Northeast India
Nagaland,Chumoukedima,25.7617,93.7839,Northeast India
Nagaland,Dimapur,25.9087,93.7425,Northeast India
Nagaland,Kiphire,25.806,94.8564,Northeast India
Nagaland,Kohima,25.7206,94.1041,Northeast India
Nagaland,Longleng,26.5841,94.8047,Northeast India
Nagaland,Mokokchung,26.4709,94.5086,Northeast India
Nagaland,Mon,26.6604,94.9999,Northeast India
Nagaland,Niuland,25.8504,93.9199,Northeast India
Nagaland,Noklak,26.1077,95.0579,Northeast India
Nagaland,Peren,25.45,93.6001,Northeast India
Nagaland,Phek,25.6492,94.3783,Northeast India
Nagaland,Shamator,26.1336,94.9365,Northeast India
Nagaland,Tseminyu,25.9403,94.1667,Northeast India
Nagaland,Tuensang,26.2198,94.7357,Northeast India
Nagaland,Wokha,26.2415,94.1905,Northeast India
Nagaland,Zunheboto,26.0128,94.5119,Northeast India
Odisha,Anugul,21.1038,84.9546,East India
Odisha,Balangir,20.6097,83.1666,East India
Odisha,Baleshwar,21.5212,86.8798,East India
Odisha,Bargarh,21.2334,83.5671,East India
Odisha,Bhadrak,20.9845,86.5954,East India
Odisha,Boudh,20.64,83.9976,East India
Odisha,Cuttack,20.371,85.4663,East India
Odisha,Deogarh,21.4476,84.717,East India
Odisha,Dhenkanal,20.8355,85.6015,East India
Odisha,Gajapati,19.1973,84.1903,East India
Odisha,Ganjam,19.6104,84.7066,East India
Odisha,Jagatsinghapur,20.1848,86.3434,East India
Odisha,Jajapur,20.8751,86.1221,East India
Odisha,Jharsuguda,21.802,84.0158,East India
Odisha,Kalahandi,19.8262,83.0407,East India
Odisha,Kandhamal,20.1318,84.079,East India
Odisha,Kendrapara,20.548,86.5358,East India
Odisha,Kendujhar,21.5896,85.6681,East India
Odisha,Khordha,20.0545,85.5021,East India
Odisha,Koraput,18.7239,82.6085,East India
Odisha,Malkangiri,18.2758,81.9537,East India
Odisha,Mayurbhanj,21.9161,86.3965,East India
Odisha,Nabarangpur,19.6098,82.2992,East India
Odisha,Nayagarh,20.2393,85.0508,East India
Odisha,Nuapada,20.5406,82.5283,East India
Odisha,Puri,19.8351,85.6871,East India
Odisha,Rayagada,19.4425,83.5875,East India
Odisha,Sambalpur,21.5557,84.1529,East India
Odisha,Sonepur,20.8527,83.8518,East India
